Arsenal,Aston Villa,1,3
Liverpool,Stoke,1,0
Norwich,Everton,2,2
Sunderland,Fulham,0,1
Swansea,Man United,1,4
West Brom,Southampton,0,1
West Ham,Cardiff,2,0
Chelsea,Hull,2,0
Crystal Palace,Tottenham,0,1
Man City,Newcastle,4,0
Chelsea,Aston Villa,2,1
Aston Villa,Liverpool,0,1
Everton,West Brom,0,0
Fulham,Arsenal,1,3
Hull,Norwich,1,0
Newcastle,West Ham,0,0
Southampton,Sunderland,1,1
Stoke,Crystal Palace,2,1
Cardiff,Man City,3,2
Tottenham,Swansea,1,0
Man United,Chelsea,0,0
Cardiff,Everton,0,0
Crystal Palace,Sunderland,3,1
Man City,Hull,2,0
Newcastle,Fulham,1,0
Norwich,Southampton,1,0
West Ham,Stoke,0,1
Arsenal,Tottenham,1,0
Liverpool,Man United,1,0
West Brom,Swansea,0,2
Aston Villa,Newcastle,1,2
Everton,Chelsea,1,0
Fulham,West Brom,1,1
Hull,Cardiff,1,1
Man United,Crystal Palace,2,0
Stoke,Man City,0,0
Sunderland,Arsenal,1,3
Tottenham,Norwich,2,0
Southampton,West Ham,0,0
Swansea,Liverpool,2,2
Chelsea,Fulham,2,0
Liverpool,Southampton,0,1
Newcastle,Hull,2,3
Norwich,Aston Villa,0,1
West Brom,Sunderland,3,0
West Ham,Everton,2,3
Arsenal,Stoke,3,1
Cardiff,Tottenham,0,1
Crystal Palace,Swansea,0,2
Man City,Man United,4,1
Aston Villa,Man City,3,2
Fulham,Cardiff,1,2
Hull,West Ham,1,0
Man United,West Brom,1,2
Southampton,Crystal Palace,2,0
Swansea,Arsenal,1,2
Tottenham,Chelsea,1,1
Stoke,Norwich,0,1
Sunderland,Liverpool,1,3
Everton,Newcastle,3,2
Cardiff,Newcastle,1,2
Fulham,Stoke,1,0
Hull,Aston Villa,0,0
Liverpool,Crystal Palace,3,1
Man City,Everton,3,1
Sunderland,Man United,1,2
Norwich,Chelsea,1,3
Southampton,Swansea,2,0
Tottenham,West Ham,0,3
West Brom,Arsenal,1,1
Arsenal,Norwich,4,1
Chelsea,Cardiff,4,1
Everton,Hull,2,1
Man United,Southampton,1,1
Newcastle,Liverpool,2,2
Stoke,West Brom,0,0
Swansea,Sunderland,4,0
West Ham,Man City,1,3
Aston Villa,Tottenham,0,2
Crystal Palace,Fulham,1,4
Aston Villa,Everton,0,2
Crystal Palace,Arsenal,0,2
Liverpool,West Brom,4,1
Man United,Stoke,3,2
Norwich,Cardiff,0,0
Southampton,Fulham,2,0
Chelsea,Man City,2,1
Sunderland,Newcastle,2,1
Swansea,West Ham,0,0
Tottenham,Hull,1,0
Arsenal,Liverpool,2,0
Fulham,Man United,1,3
Hull,Sunderland,1,0
Man City,Norwich,7,0
Newcastle,Chelsea,2,0
Stoke,Southampton,1,1
West Brom,Crystal Palace,2,0
West Ham,Aston Villa,0,0
Cardiff,Swansea,1,0
Everton,Tottenham,0,0
Aston Villa,Cardiff,2,0
Chelsea,West Brom,2,2
Crystal Palace,Everton,0,0
Liverpool,Fulham,4,0
Norwich,West Ham,3,1
Southampton,Hull,4,1
Man United,Arsenal,1,0
Sunderland,Man City,1,0
Swansea,Stoke,3,3
Tottenham,Newcastle,0,1
Arsenal,Southampton,2,0
Everton,Liverpool,3,3
Fulham,Swansea,1,2
Hull,Crystal Palace,0,1
Newcastle,Norwich,2,1
Stoke,Sunderland,2,0
West Ham,Chelsea,0,3
Cardiff,Man United,2,2
Man City,Tottenham,6,0
West Brom,Aston Villa,2,2
Aston Villa,Sunderland,0,0
Cardiff,Arsenal,0,3
Everton,Stoke,4,0
Newcastle,West Brom,2,1
Norwich,Crystal Palace,1,0
West Ham,Fulham,3,0
Chelsea,Southampton,3,1
Hull,Liverpool,3,1
Man City,Swansea,3,0
Tottenham,Man United,2,2
Crystal Palace,West Ham,1,0
Arsenal,Hull,2,0
Fulham,Tottenham,1,2
Liverpool,Norwich,5,1
Man United,Everton,0,1
Southampton,Aston Villa,2,3
Stoke,Cardiff,0,0
Sunderland,Chelsea,3,4
Swansea,Newcastle,3,0
West Brom,Man City,2,3
Crystal Palace,Cardiff,2,0
Liverpool,West Ham,4,1
Man United,Newcastle,0,1
Southampton,Man City,1,1
Stoke,Chelsea,3,2
Sunderland,Tottenham,1,2
West Brom,Norwich,0,2
Arsenal,Everton,1,1
Fulham,Aston Villa,2,0
Swansea,Hull,1,1
Cardiff,West Brom,1,0
