Aston Villa,Wigan,0,2
Blackburn,Man City,0,2
Bolton,Sunderland,0,1
Chelsea,Hull,2,1
Everton,Arsenal,1,6
Portsmouth,Fulham,0,1
Stoke,Burnley,2,0
Wolves,West Ham,0,2
Man United,Birmingham,1,0
Tottenham,Liverpool,2,1
Sunderland,Chelsea,1,3
Wigan,Wolves,0,1
Birmingham,Portsmouth,1,0
Burnley,Man United,1,0
Hull,Tottenham,1,5
Liverpool,Stoke,4,0
Arsenal,Portsmouth,4,1
Birmingham,Stoke,0,0
Hull,Bolton,1,0
Man City,Wolves,1,0
Sunderland,Blackburn,2,1
Wigan,Man United,0,5
Burnley,Everton,1,0
Fulham,Chelsea,0,2
West Ham,Tottenham,1,2
Liverpool,Aston Villa,1,3
Blackburn,West Ham,0,0
Bolton,Liverpool,2,3
Chelsea,Burnley,3,0
Man United,Arsenal,2,1
Stoke,Sunderland,1,0
Tottenham,Birmingham,2,1
Wolves,Hull,1,1
Aston Villa,Fulham,2,0
Everton,Wigan,2,1
Portsmouth,Man City,0,1
Blackburn,Wolves,3,1
Liverpool,Burnley,4,0
Man City,Arsenal,4,2
Portsmouth,Bolton,2,3
Stoke,Chelsea,1,2
Sunderland,Hull,4,1
Tottenham,Man United,1,3
Wigan,West Ham,1,0
Birmingham,Aston Villa,0,1
Fulham,Everton,2,1
Arsenal,Wigan,4,0
Aston Villa,Portsmouth,2,0
Bolton,Stoke,1,1
Burnley,Sunderland,3,1
Hull,Birmingham,0,1
West Ham,Liverpool,2,3
Chelsea,Tottenham,3,0
Everton,Blackburn,3,0
Man United,Man City,4,3
Wolves,Fulham,2,1
Birmingham,Bolton,1,2
Blackburn,Aston Villa,2,1
Fulham,Arsenal,0,1
Liverpool,Hull,6,1
Portsmouth,Everton,0,1
Stoke,Man United,0,2
Tottenham,Burnley,5,0
Wigan,Chelsea,3,1
Sunderland,Wolves,5,2
Man City,West Ham,3,1
Bolton,Tottenham,2,2
Burnley,Birmingham,2,1
Hull,Wigan,2,1
Man United,Sunderland,2,2
Wolves,Portsmouth,0,1
Arsenal,Blackburn,6,2
Chelsea,Liverpool,2,0
Everton,Stoke,1,1
West Ham,Fulham,2,2
Aston Villa,Man City,1,1
Arsenal,Birmingham,3,1
Aston Villa,Chelsea,2,1
Everton,Wolves,1,1
Man United,Bolton,2,1
Portsmouth,Tottenham,1,2
Stoke,West Ham,2,1
Sunderland,Liverpool,1,0
Blackburn,Burnley,3,2
Wigan,Man City,1,1
Fulham,Hull,2,0
Birmingham,Sunderland,2,1
Burnley,Wigan,1,3
Chelsea,Blackburn,5,0
Hull,Portsmouth,0,0
Tottenham,Stoke,0,1
Wolves,Aston Villa,1,1
Bolton,Everton,3,2
Liverpool,Man United,2,0
Man City,Fulham,2,2
West Ham,Arsenal,2,2
Arsenal,Tottenham,3,0
Bolton,Chelsea,0,4
Burnley,Hull,2,0
Everton,Aston Villa,1,1
Fulham,Liverpool,3,1
Man United,Blackburn,2,0
Portsmouth,Wigan,4,0
Stoke,Wolves,2,2
Sunderland,West Ham,2,2
Birmingham,Man City,0,0
West Ham,Aston Villa,2,1
Aston Villa,Bolton,5,1
Blackburn,Portsmouth,3,1
Man City,Burnley,3,3
