Aston Villa,West Ham,3,0
Blackburn,Everton,1,0
Bolton,Fulham,0,0
Chelsea,West Brom,6,0
Sunderland,Birmingham,2,2
Tottenham,Man City,0,0
Wigan,Blackpool,0,4
Wolves,Stoke,2,1
Liverpool,Arsenal,1,1
Man United,Newcastle,3,0
Arsenal,Blackpool,6,0
Birmingham,Blackburn,2,1
Everton,Wolves,1,1
Stoke,Tottenham,1,2
West Brom,Sunderland,1,0
West Ham,Bolton,1,3
Wigan,Chelsea,0,6
Fulham,Man United,2,2
Newcastle,Aston Villa,6,0
Man City,Liverpool,3,0
Blackburn,Arsenal,1,2
Blackpool,Fulham,2,2
Chelsea,Stoke,2,0
Man United,West Ham,3,0
Tottenham,Wigan,0,1
Wolves,Newcastle,1,1
Aston Villa,Everton,1,0
Bolton,Birmingham,2,2
Liverpool,West Brom,1,0
Sunderland,Man City,1,0
Arsenal,Bolton,4,1
Everton,Man United,3,3
Fulham,Wolves,2,1
Man City,Blackburn,1,1
Newcastle,Blackpool,0,2
West Brom,Tottenham,1,1
West Ham,Chelsea,1,3
Wigan,Sunderland,1,1
Birmingham,Liverpool,0,0
Stoke,Aston Villa,2,1
Aston Villa,Bolton,1,1
Blackburn,Fulham,1,1
Everton,Newcastle,0,1
Stoke,West Ham,1,1
Sunderland,Arsenal,1,1
Tottenham,Wolves,3,1
West Brom,Birmingham,3,1
Chelsea,Blackpool,4,0
Man United,Liverpool,3,2
Wigan,Man City,0,2
Arsenal,West Brom,2,3
Birmingham,Wigan,0,0
Blackpool,Blackburn,1,2
Fulham,Everton,0,0
Liverpool,Sunderland,2,2
Man City,Chelsea,1,0
West Ham,Tottenham,1,0
Bolton,Man United,2,2
Newcastle,Stoke,1,2
Wolves,Aston Villa,1,2
Birmingham,Everton,0,2
Stoke,Blackburn,1,0
Sunderland,Man United,0,0
Tottenham,Aston Villa,2,1
West Brom,Bolton,1,1
West Ham,Fulham,1,1
Wigan,Wolves,2,0
Chelsea,Arsenal,2,0
Liverpool,Blackpool,1,2
Man City,Newcastle,2,1
Arsenal,Birmingham,2,1
Aston Villa,Chelsea,0,0
Bolton,Stoke,2,1
Fulham,Tottenham,1,2
Man United,West Brom,2,2
Newcastle,Wigan,2,2
Wolves,West Ham,1,1
Blackpool,Man City,2,3
Everton,Liverpool,2,0
Blackburn,Sunderland,0,0
Birmingham,Blackpool,2,0
Chelsea,Wolves,2,0
Sunderland,Aston Villa,1,0
Tottenham,Everton,1,1
West Brom,Fulham,2,1
West Ham,Newcastle,1,2
Wigan,Bolton,1,1
Liverpool,Blackburn,2,1
Man City,Arsenal,0,3
Stoke,Man United,1,2
Arsenal,West Ham,1,0
Blackburn,Chelsea,1,2
Everton,Stoke,1,0
Fulham,Wigan,2,0
Man United,Tottenham,2,0
Wolves,Man City,2,1
Aston Villa,Birmingham,0,0
Bolton,Liverpool,0,1
Newcastle,Sunderland,5,1
Blackpool,West Brom,2,1
Birmingham,West Ham,2,2
Blackburn,Wigan,2,1
Blackpool,Everton,2,2
Bolton,Tottenham,4,2
Fulham,Aston Villa,1,1
Man United,Wolves,2,1
Sunderland,Stoke,2,0
Arsenal,Newcastle,0,1
Liverpool,Chelsea,2,0
West Brom,Man City,0,2
Stoke,Birmingham,3,2
Tottenham,Sunderland,1,1
Aston Villa,Blackpool,3,2
Chelsea,Fulham,1,0
Everton,Bolton,1,1
Man City,Man United,0,0
Newcastle,Blackburn,1,2
West Ham,West Brom,2,2
Wigan,Liverpool,1,1
Wolves,Arsenal,0,2
Aston Villa,Man United,2,2
Man City,Birmingham,0,0
Newcastle,Fulham,0,0
Stoke,Liverpool,2,0
Tottenham,Blackburn,4,2
West Ham,Blackpool,0,0
Wigan,West Brom,1,0
Wolves,Bolton,2,3
Chelsea,Sunderland,0,3
Everton,Arsenal,1,2
Arsenal,Tottenham,2,3
Birmingham,Chelsea,1,0
Blackpool,Wolves,2,1
Bolton,Newcastle,5,1
Liverpool,West Ham,3,0
Man United,Wigan,2,0
West Brom,Stoke,0,3
Blackburn,Aston Villa,2,0
Fulham,Man City,1,4
Sunderland,Everton,2,2
Aston Villa,Arsenal,2,4
Bolton,Blackpool,2,2
Everton,West Brom,1,4
Fulham,Birmingham,1,1
Man United,Blackburn,7,1
Stoke,Man City,1,1
West Ham,Wigan,3,1
Wolves,Sunderland,3,2
Newcastle,Chelsea,1,1
Tottenham,Liverpool,2,1
Arsenal,Fulham,2,1
Birmingham,Tottenham,1,1
Blackburn,Wolves,3,0
Chelsea,Everton,1,1
Man City,Bolton,1,0
Wigan,Stoke,2,2
Sunderland,West Ham,1,0
West Brom,Newcastle,3,1
Liverpool,Aston Villa,3,0
Aston Villa,West Brom,2,1
Everton,Wigan,0,0
Fulham,Sunderland,0,0
Newcastle,Liverpool,3,1
Stoke,Blackpool,0,1
West Ham,Man City,1,3
Bolton,Blackburn,2,1
Tottenham,Chelsea,1,1
Wolves,Birmingham,1,0
Man United,Arsenal,1,0
Blackburn,West Ham,1,1
Sunderland,Bolton,1,0
Man City,Everton,1,2
Aston Villa,Tottenham,1,2
Blackburn,Stoke,0,2
Bolton,West Brom,2,0
Fulham,West Ham,1,3
Man United,Sunderland,2,0
Newcastle,Man City,1,3
Wolves,Wigan,1,2
Arsenal,Chelsea,3,1
Birmingham,Man United,1,1
Man City,Aston Villa,4,0
Stoke,Fulham,0,2
Sunderland,Blackpool,0,2
Tottenham,Newcastle,2,0
West Brom,Blackburn,1,3
West Ham,Everton,1,1
Chelsea,Bolton,1,0
Liverpool,Wolves,0,1
Wigan,Arsenal,2,2
Birmingham,Arsenal,0,3
Liverpool,Bolton,2,1
Man City,Blackpool,1,0
Stoke,Everton,2,0
Sunderland,Blackburn,3,0
Tottenham,Fulham,1,0
West Brom,Man United,1,2
West Ham,Wolves,2,0
Chelsea,Aston Villa,3,3
Wigan,Newcastle,0,1
Blackpool,Birmingham,1,2
Fulham,West Brom,3,0
Man United,Stoke,2,1
Arsenal,Man City,0,0
Aston Villa,Sunderland,0,1
Blackburn,Liverpool,3,1
Bolton,Wigan,1,1
Everton,Tottenham,2,1
Newcastle,West Ham,5,0
Wolves,Chelsea,1,0
Blackpool,Liverpool,2,1
Chelsea,Blackburn,2,0
Man City,Wolves,4,3
Stoke,Bolton,2,0
West Brom,Blackpool,3,2
West Ham,Arsenal,0,3
Wigan,Fulham,1,1
Birmingham,Aston Villa,1,1
Liverpool,Everton,2,2
Sunderland,Newcastle,1,1
Tottenham,Man United,0,0
Arsenal,Wigan,3,0
Aston Villa,Man City,1,0
Blackpool,Sunderland,1,2
Everton,West Ham,2,2
Fulham,Stoke,2,0
Man United,Birmingham,5,0
Newcastle,Tottenham,1,1
Wolves,Liverpool,0,3
Blackburn,West Brom,2,0
Bolton,Chelsea,0,4
Blackpool,Man United,2,3
Wigan,Aston Villa,1,2
Liverpool,Fulham,1,0
Arsenal,Everton,2,1
Man United,Aston Villa,3,1
Sunderland,Chelsea,2,4
West Brom,Wigan,2,2
Birmingham,Man City,2,2
Blackburn,Tottenham,0,1
Blackpool,West Ham,1,3
Bolton,Wolves,1,0
Fulham,Newcastle,1,0
Liverpool,Stoke,2,0
Aston Villa,Fulham,2,2
Everton,Blackpool,5,3
Man City,West Brom,3,0
Newcastle,Arsenal,4,4
Stoke,Sunderland,3,2
Tottenham,Bolton,2,1
Wigan,Blackburn,4,3
Wolves,Man United,2,1
Chelsea,Liverpool,0,1
West Ham,Birmingham,0,1
Arsenal,Wolves,2,0
Birmingham,Stoke,1,0
Blackburn,Newcastle,0,0
Blackpool,Aston Villa,1,1
Liverpool,Wigan,1,1
Man United,Man City,2,1
Sunderland,Tottenham,1,2
West Brom,West Ham,3,3
Bolton,Everton,2,0
Fulham,Chelsea,0,0
Birmingham,Newcastle,0,2
West Brom,Wolves,1,1
Blackpool,Tottenham,3,1
Arsenal,Stoke,1,0
Aston Villa,Blackburn,4,1
Everton,Sunderland,2,0
Newcastle,Bolton,1,1
Wigan,Man United,0,4
Wolves,Blackpool,4,0
Man City,Fulham,1,1
West Ham,Liverpool,3,1
Stoke,West Brom,1,1
Chelsea,Man United,2,1
Arsenal,Sunderland,0,0
Birmingham,West Brom,1,3
Bolton,Aston Villa,3,2
Fulham,Blackburn,3,2
Man City,Wigan,1,0
Newcastle,Everton,1,2
West Ham,Stoke,3,0
Liverpool,Man United,3,1
